leading_item_id,following_item_id,best_lag,max_corr
AANGBULD,APQGTRMF,8,-0.48011453063924403
AANGBULD,BEZYMBBT,8,-0.4182881980795935
AANGBULD,DEWLVASR,6,0.6402209326501292
AANGBULD,DNMPSKTB,4,-0.41063485305921876
AANGBULD,ELQGMQWE,8,0.4749394649568398
AANGBULD,EVBVXETX,6,0.4366230785816179
AANGBULD,FITUEHWN,7,0.4188838297901458
AANGBULD,FTSVTTSR,3,0.5314002507963714
AANGBULD,GKQIJYDH,6,0.5825012836736417
AANGBULD,GYHKIVQT,8,-0.504037332573793
AANGBULD,KJNSOAHR,9,0.5756364347553402
AANGBULD,LLHREMKS,5,0.4997339110628157
AANGBULD,NAQIHUKZ,2,0.5254899212149458
AANGBULD,OKMBFVKS,8,-0.5615608802561464
AANGBULD,QVLMOEYE,9,-0.5491970857044147
AANGBULD,SDWAYPIK,7,-0.4550188635369192
AANGBULD,UIFPPCLR,8,-0.45947570146822386
AANGBULD,VUAFAIYJ,2,0.509967566586131
AANGBULD,XIIEJNEE,7,0.5266017820984805
AANGBULD,ZCELVYQU,7,0.6777014019729387
AANGBULD,ZKENOUDA,1,0.5999690192401783
AANGBULD,ZXERAXWP,9,0.5693224467442712
AHMDUILJ,APQGTRMF,6,0.41973271063223805
AHMDUILJ,ATLDMDBO,4,0.4832809795674767
AHMDUILJ,BUZIIBYG,4,0.46173854673546505
AHMDUILJ,DUCMGGNW,1,0.4509547739353878
AHMDUILJ,KAGJCHMR,8,-0.567889443412262
AHMDUILJ,LRVGFDFM,4,0.4332526859072567
AHMDUILJ,QRKRBYJL,5,0.4405493562761983
AHMDUILJ,QVLMOEYE,7,0.43986060457718645
AHMDUILJ,RAWUKQMJ,4,0.41037868233376956
AHMDUILJ,RJGPVEXX,7,0.40283950761474624
AHMDUILJ,UXSPKBJR,4,0.5229081894352552
AHMDUILJ,WPQXWHYO,4,0.4170318717629925
AHMDUILJ,XIIEJNEE,2,0.41029354151346964
AHMDUILJ,YSYHGLQK,8,-0.4305085500876101
APQGTRMF,AANGBULD,7,-0.4624160050357261
APQGTRMF,ATLDMDBO,3,0.5319991146565786
APQGTRMF,AXULOHBQ,7,0.44379635246232135
APQGTRMF,BEZYMBBT,1,0.4548434441808289
APQGTRMF,BSRMSVTC,6,0.4427123473516348
APQGTRMF,BTMOEMEP,2,0.47065854468504953
APQGTRMF,DBWLZWNK,6,0.4915589820118644
APQGTRMF,DJBLNPNC,1,0.40300249068874333
APQGTRMF,DNMPSKTB,6,0.5645994536178268
APQGTRMF,DUCMGGNW,6,0.5142571127850889
APQGTRMF,FDXPMYGF,5,0.4146452016837507
APQGTRMF,FQCLOEXA,9,-0.42929501431564143
APQGTRMF,GYHKIVQT,3,0.5081256214358466
APQGTRMF,HXYSSRXE,6,0.5153133030510014
APQGTRMF,JPBRUTWP,1,0.47496101732477203
APQGTRMF,KEUWZRKO,9,0.46599941107690906
APQGTRMF,LPHPPJUG,9,-0.48030612479644064
APQGTRMF,OGAFEHLU,4,0.43526117260107156
APQGTRMF,OKMBFVKS,1,0.5370523492152125
APQGTRMF,OXKURKXR,2,0.42811054826345835
APQGTRMF,QKXNTIIB,7,0.46382228944143267
APQGTRMF,QRKRBYJL,1,0.4904162523292622
APQGTRMF,QVLMOEYE,1,0.5022604683019747
APQGTRMF,RAWUKQMJ,4,0.49254942799728635
APQGTRMF,RCBZUSIM,2,0.5299050267321673
APQGTRMF,SAHWCZNH,9,0.4800697593761754
APQGTRMF,SDWAYPIK,4,0.4219027196206926
APQGTRMF,UIFPPCLR,1,0.5080676592465878
APQGTRMF,VMAQSTJE,8,0.5368054162624862
APQGTRMF,WBLJNPZQ,5,0.4852115231644206
APQGTRMF,WHPUAOID,3,0.523936264550737
APQGTRMF,XUOIQPFL,3,0.4334917668122407
APQGTRMF,YSYHGLQK,2,-0.4493284890681285
APQGTRMF,ZGJXVMNI,9,-0.46281474961121516
APQGTRMF,ZKENOUDA,7,-0.41482506144235337
ATLDMDBO,APQGTRMF,5,0.5085891388701113
ATLDMDBO,AXULOHBQ,7,0.7500888287720342
ATLDMDBO,BJALXPFS,9,0.454705444155492
ATLDMDBO,BSRMSVTC,6,0.40051172352300973
ATLDMDBO,BTMOEMEP,1,0.6645738300117706
ATLDMDBO,DBWLZWNK,3,0.5372330041760305
ATLDMDBO,DEWLVASR,8,-0.47786834893160074
ATLDMDBO,DNMPSKTB,8,0.7791258030288111
ATLDMDBO,EVBVXETX,9,-0.4728455801112939
ATLDMDBO,FDXPMYGF,7,0.43340550239325876
ATLDMDBO,FQCLOEXA,8,-0.5862328599111964
ATLDMDBO,GYHKIVQT,7,0.7591249324689091
ATLDMDBO,HXYSSRXE,8,0.6296137872806546
ATLDMDBO,IGDVVKUD,2,0.4750208665788739
ATLDMDBO,JBVHSUWY,7,0.4020687479678231
ATLDMDBO,JPBRUTWP,5,0.658207393156338
ATLDMDBO,KEUWZRKO,9,0.4693730655596802
ATLDMDBO,KJNSOAHR,8,-0.40659010558424025
ATLDMDBO,LPHPPJUG,6,-0.5980423142124411
ATLDMDBO,LRVGFDFM,1,0.5657641728717883
ATLDMDBO,NZKBIBNU,9,-0.4039795734593677
ATLDMDBO,OGAFEHLU,9,0.5311054665769509
ATLDMDBO,OKMBFVKS,4,0.4223455907078047
ATLDMDBO,OXKURKXR,2,0.554515091383817
ATLDMDBO,QRKRBYJL,1,0.8177117394118009
ATLDMDBO,QVLMOEYE,3,0.7036817058682101
ATLDMDBO,RAWUKQMJ,4,0.6412137529937184
ATLDMDBO,RCBZUSIM,1,0.5146829328084076
ATLDMDBO,SAHWCZNH,9,0.41841730289391804
ATLDMDBO,SDWAYPIK,3,0.6472855522465497
ATLDMDBO,UGEQLMXM,6,0.5693652932925151
ATLDMDBO,UXSPKBJR,2,0.4095829109383602
ATLDMDBO,VBYCLTYZ,2,0.6382672695991989
ATLDMDBO,VMAQSTJE,8,0.49074358508873045
ATLDMDBO,WBLJNPZQ,9,0.4825572609554925
ATLDMDBO,WPQXWHYO,9,-0.47006329131321084
ATLDMDBO,XUOIQPFL,1,0.5201365914083842
ATLDMDBO,ZGJXVMNI,8,-0.646197123026812
ATLDMDBO,ZKENOUDA,9,-0.551444600357265
AXULOHBQ,ATLDMDBO,9,-0.5268943971848847
AXULOHBQ,BJALXPFS,1,0.4780913855365558
AXULOHBQ,BSRMSVTC,3,0.5802806775948827
AXULOHBQ,DNMPSKTB,3,0.4062202838843407
AXULOHBQ,EVBVXETX,7,-0.5712735905588107
AXULOHBQ,FDXPMYGF,1,0.546014055966756
AXULOHBQ,FQCLOEXA,1,-0.48768937043539684
AXULOHBQ,HCDTGMST,5,0.41707141657865165
AXULOHBQ,HXYSSRXE,3,0.4103157299058957
AXULOHBQ,KEUWZRKO,6,0.6359747141988348
AXULOHBQ,LUENUFGA,7,0.7083974357698073
AXULOHBQ,NZKBIBNU,4,-0.5176253471028228
AXULOHBQ,OGAFEHLU,6,0.6157743031081055
