leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,152966
AANGBULD,DDEXPPXU,152966
AANGBULD,DEWLVASR,366835
AANGBULD,ELQGMQWE,501486
AANGBULD,FTSVTTSR,262296
AANGBULD,GKQIJYDH,5108516
AANGBULD,GYHKIVQT,22526839
AANGBULD,KJNSOAHR,12257524
AANGBULD,LLHREMKS,152966
AANGBULD,LTOYKIML,422783
AANGBULD,NAQIHUKZ,152966
AANGBULD,OKMBFVKS,1751699
AANGBULD,OXKURKXR,169134
AANGBULD,QVLMOEYE,1071343
AANGBULD,UQYUIVVR,6140539
AANGBULD,VUAFAIYJ,831234
AANGBULD,XIIEJNEE,152966
AANGBULD,ZCELVYQU,190020
AANGBULD,ZKENOUDA,366835
AANGBULD,ZXERAXWP,152966
AHMDUILJ,APQGTRMF,152966
AHMDUILJ,ATLDMDBO,34668391
AHMDUILJ,BSRMSVTC,371288
AHMDUILJ,BUZIIBYG,15374334
AHMDUILJ,DUCMGGNW,831234
AHMDUILJ,HXYSSRXE,5217613
AHMDUILJ,JERHKLYW,152966
AHMDUILJ,KAGJCHMR,152966
AHMDUILJ,QRKRBYJL,2664015
AHMDUILJ,RAWUKQMJ,3914860
AHMDUILJ,UXSPKBJR,467704
AHMDUILJ,WPQXWHYO,10694661
AHMDUILJ,XIIEJNEE,152966
AHMDUILJ,YSYHGLQK,152966
APQGTRMF,AANGBULD,371288
APQGTRMF,ATLDMDBO,34972533
APQGTRMF,BEZYMBBT,3590214
APQGTRMF,BSRMSVTC,371288
APQGTRMF,BTMOEMEP,11862934
APQGTRMF,DBWLZWNK,249298
APQGTRMF,DEWLVASR,366835
APQGTRMF,DJBLNPNC,152966
APQGTRMF,DNMPSKTB,5207236
APQGTRMF,DUCMGGNW,831234
APQGTRMF,FDXPMYGF,152966
APQGTRMF,GYHKIVQT,21983879
APQGTRMF,HXYSSRXE,5230334
APQGTRMF,JPBRUTWP,5230110
APQGTRMF,OGAFEHLU,152966
APQGTRMF,OKMBFVKS,1751699
APQGTRMF,OXKURKXR,169134
APQGTRMF,QRKRBYJL,2664015
APQGTRMF,QVLMOEYE,1071343
APQGTRMF,RAWUKQMJ,3914860
APQGTRMF,RCBZUSIM,152966
APQGTRMF,ROACSLMG,2143158
APQGTRMF,SDWAYPIK,5207236
APQGTRMF,UIFPPCLR,152966
APQGTRMF,VMAQSTJE,152966
APQGTRMF,WBLJNPZQ,213247
APQGTRMF,WHPUAOID,152966
APQGTRMF,XUOIQPFL,2876287
APQGTRMF,YSYHGLQK,152966
APQGTRMF,ZGJXVMNI,2968366
ATLDMDBO,APQGTRMF,152966
ATLDMDBO,AXULOHBQ,152966
ATLDMDBO,BEZYMBBT,3581077
ATLDMDBO,BJALXPFS,179482
ATLDMDBO,BLANHGYY,152966
ATLDMDBO,BTMOEMEP,11507748
ATLDMDBO,DBWLZWNK,249298
ATLDMDBO,DEWLVASR,366835
ATLDMDBO,DJBLNPNC,152966
ATLDMDBO,DNMPSKTB,5200639
ATLDMDBO,EVBVXETX,5200639
ATLDMDBO,FDXPMYGF,152966
ATLDMDBO,FQCLOEXA,2091121
ATLDMDBO,GYHKIVQT,22136170
ATLDMDBO,HXYSSRXE,5214600
ATLDMDBO,IGDVVKUD,152966
ATLDMDBO,JPBRUTWP,5223513
ATLDMDBO,LPHPPJUG,1180902
ATLDMDBO,LRVGFDFM,9961021
ATLDMDBO,OGAFEHLU,152966
ATLDMDBO,OKMBFVKS,1751699
ATLDMDBO,OXKURKXR,169134
ATLDMDBO,QRKRBYJL,2664015
ATLDMDBO,QVLMOEYE,1071343
ATLDMDBO,RAWUKQMJ,3911847
ATLDMDBO,RCBZUSIM,152966
ATLDMDBO,SDWAYPIK,5200639
ATLDMDBO,UGEQLMXM,262296
ATLDMDBO,UIFPPCLR,152966
ATLDMDBO,UXSPKBJR,467704
ATLDMDBO,VBYCLTYZ,497923
ATLDMDBO,VMAQSTJE,152966
ATLDMDBO,WBLJNPZQ,213247
ATLDMDBO,WPQXWHYO,10691649
ATLDMDBO,XUOIQPFL,2867151
ATLDMDBO,ZGJXVMNI,2968366
ATLDMDBO,ZKENOUDA,366835
AXULOHBQ,ATLDMDBO,35248860
AXULOHBQ,BJALXPFS,179482
AXULOHBQ,BSRMSVTC,371288
AXULOHBQ,DNMPSKTB,5203652
AXULOHBQ,EVBVXETX,5203652
AXULOHBQ,FDXPMYGF,152966
AXULOHBQ,FQCLOEXA,2091121
AXULOHBQ,KEUWZRKO,366835
AXULOHBQ,KJNSOAHR,12221909
AXULOHBQ,LPHPPJUG,1180902
AXULOHBQ,LUENUFGA,3914860
AXULOHBQ,NZKBIBNU,273290
AXULOHBQ,OGAFEHLU,152966
AXULOHBQ,PYZMVUWD,152966
AXULOHBQ,RJGPVEXX,557435
AXULOHBQ,SAHWCZNH,2143158
AXULOHBQ,UXSPKBJR,467704
AXULOHBQ,VMAQSTJE,152966
AXULOHBQ,VUAFAIYJ,831234
AXULOHBQ,VWMBASNE,152966
AXULOHBQ,WPQXWHYO,10731631
AXULOHBQ,XIFHSOWQ,152966
AXULOHBQ,XUOIQPFL,2867151
BEZYMBBT,APQGTRMF,152966
BEZYMBBT,DBWLZWNK,249298
BEZYMBBT,ELQGMQWE,501486
BEZYMBBT,FQCLOEXA,2091121
BEZYMBBT,GYHKIVQT,22166035
BEZYMBBT,HXYSSRXE,5217613
BEZYMBBT,KJNSOAHR,12257524
BEZYMBBT,OKMBFVKS,1751699
BEZYMBBT,RAWUKQMJ,3914860
BEZYMBBT,RCBZUSIM,152966
BEZYMBBT,RJGPVEXX,557435
BEZYMBBT,STZDBITS,18533845
BEZYMBBT,UIFPPCLR,152966
BEZYMBBT,WBLJNPZQ,213247
BEZYMBBT,YSYHGLQK,152966
BJALXPFS,AXULOHBQ,152966
BJALXPFS,BSRMSVTC,371288
BJALXPFS,DNMPSKTB,5203652
BJALXPFS,EVBVXETX,5207236
BJALXPFS,FITUEHWN,152966
BJALXPFS,KEUWZRKO,366835
BJALXPFS,OGAFEHLU,152966
BJALXPFS,QRKRBYJL,2664015
BJALXPFS,QVLMOEYE,1071343
BJALXPFS,RJGPVEXX,557435
BJALXPFS,SDWAYPIK,5203652
BJALXPFS,SNHYOVBM,375106
BJALXPFS,UGEQLMXM,262296
BJALXPFS,UIFPPCLR,152966
BJALXPFS,VMAQSTJE,152966
BJALXPFS,VWMBASNE,152966
BLANHGYY,AXULOHBQ,152966
BLANHGYY,BJALXPFS,179482
BLANHGYY,BSRMSVTC,371288
BLANHGYY,DNMPSKTB,5207236
BLANHGYY,EVBVXETX,5207236
BLANHGYY,FDXPMYGF,152966
BLANHGYY,FITUEHWN,152966
BLANHGYY,FQCLOEXA,2091121
BLANHGYY,HCDTGMST,152966
BLANHGYY,HXYSSRXE,5230334
BLANHGYY,JBVHSUWY,366835
BLANHGYY,KEUWZRKO,366835
BLANHGYY,LPHPPJUG,1180902
BLANHGYY,LRVGFDFM,9982009
BLANHGYY,LUENUFGA,3914860
BLANHGYY,OGAFEHLU,152966
BLANHGYY,PYZMVUWD,152966
BLANHGYY,RJGPVEXX,557435
BLANHGYY,SAHWCZNH,2143158
BLANHGYY,SUOYXCHP,152966
BLANHGYY,TGOELCAG,262296
BLANHGYY,UIFPPCLR,152966
BLANHGYY,VMAQSTJE,152966
BLANHGYY,WBLJNPZQ,213247
BLANHGYY,WPQXWHYO,10731631
BLANHGYY,WQMVCOEM,152966
BLANHGYY,XIFHSOWQ,152966
BLANHGYY,XUOIQPFL,2876287
BSRMSVTC,BEZYMBBT,3581077
BSRMSVTC,EVBVXETX,5203652
BSRMSVTC,FITUEHWN,152966
BSRMSVTC,HCDTGMST,152966
BSRMSVTC,JBVHSUWY,366835
BSRMSVTC,JPBRUTWP,5226526
BSRMSVTC,KEUWZRKO,366835
BSRMSVTC,LSOIUSXD,298945
BSRMSVTC,LUENUFGA,3914860
BSRMSVTC,OGAFEHLU,152966
BSRMSVTC,PYZMVUWD,152966
BSRMSVTC,RJGPVEXX,557435
BSRMSVTC,ROACSLMG,2143158
BSRMSVTC,SAHWCZNH,2143158
BSRMSVTC,STZDBITS,19155589
BSRMSVTC,TGOELCAG,262296
BSRMSVTC,UIFPPCLR,152966
BSRMSVTC,VMAQSTJE,152966
BSRMSVTC,VWMBASNE,152966
BSRMSVTC,WPQXWHYO,10694661
BSRMSVTC,XIFHSOWQ,152966
BSRMSVTC,XIPPENFQ,169134
BSRMSVTC,XUOIQPFL,2867151
BTMOEMEP,APQGTRMF,152966
BTMOEMEP,ATLDMDBO,34223742
BTMOEMEP,AXULOHBQ,152966
BTMOEMEP,BEZYMBBT,3581077
BTMOEMEP,BJALXPFS,179482
BTMOEMEP,BLANHGYY,152966
BTMOEMEP,BSRMSVTC,371288
BTMOEMEP,DBWLZWNK,249298
BTMOEMEP,DJBLNPNC,152966
BTMOEMEP,DNMPSKTB,5200639
BTMOEMEP,FDXPMYGF,152966
BTMOEMEP,FRHNWLNI,863013
BTMOEMEP,GYHKIVQT,22100554
BTMOEMEP,HXYSSRXE,5214600
BTMOEMEP,IGDVVKUD,152966
BTMOEMEP,JBVHSUWY,366835
BTMOEMEP,JPBRUTWP,5223513
BTMOEMEP,LPHPPJUG,1180902
BTMOEMEP,LRVGFDFM,9961021
BTMOEMEP,OGAFEHLU,152966
BTMOEMEP,OKMBFVKS,1751699
BTMOEMEP,OXKURKXR,169134
BTMOEMEP,QRKRBYJL,2664015
BTMOEMEP,QVLMOEYE,1071343
BTMOEMEP,RAWUKQMJ,3911847
BTMOEMEP,RCBZUSIM,152966
BTMOEMEP,SDWAYPIK,5200639
BTMOEMEP,UGEQLMXM,262296
BTMOEMEP,UXSPKBJR,467704
BTMOEMEP,VBYCLTYZ,497923
BTMOEMEP,WBLJNPZQ,213247
BTMOEMEP,WQMVCOEM,152966
BTMOEMEP,XIIEJNEE,152966
BTMOEMEP,XUOIQPFL,2867151
BUZIIBYG,BSRMSVTC,371288
BUZIIBYG,BTMOEMEP,11832596
BUZIIBYG,DJBLNPNC,152966
BUZIIBYG,FDXPMYGF,152966
BUZIIBYG,FRHNWLNI,863013
BUZIIBYG,FWUCPMMW,152966
BUZIIBYG,HXYSSRXE,5214600
BUZIIBYG,RCBZUSIM,152966
BUZIIBYG,RJGPVEXX,557435
BUZIIBYG,SAHWCZNH,2143158
BUZIIBYG,UXSPKBJR,467704
BUZIIBYG,WBLJNPZQ,213247
BUZIIBYG,WPQXWHYO,10691649
CCLHWFWF,DBWLZWNK,249298
CCLHWFWF,DUCMGGNW,831234
CCLHWFWF,FCYBOAXC,88425049
CCLHWFWF,FQCLOEXA,2091121
CCLHWFWF,LRVGFDFM,9961021
CCLHWFWF,LSOIUSXD,298945
CCLHWFWF,LTOYKIML,422783
CCLHWFWF,OGAFEHLU,152966
CCLHWFWF,QVLMOEYE,1071343
CCLHWFWF,SUOYXCHP,152966
CCLHWFWF,VUAFAIYJ,831234
CCLHWFWF,VWMBASNE,152966
CCLHWFWF,WBLJNPZQ,213247
CCLHWFWF,WHPUAOID,152966
CCLHWFWF,ZXERAXWP,152966
DBWLZWNK,APQGTRMF,152966
DBWLZWNK,ATLDMDBO,34923725
DBWLZWNK,AXULOHBQ,152966
DBWLZWNK,BEZYMBBT,3581077
DBWLZWNK,BTMOEMEP,11835609
DBWLZWNK,CCLHWFWF,12479615
DBWLZWNK,ELQGMQWE,501486
DBWLZWNK,FDXPMYGF,152966
DBWLZWNK,FRHNWLNI,863013
DBWLZWNK,FWUCPMMW,152966
DBWLZWNK,HXYSSRXE,5217613
DBWLZWNK,IGDVVKUD,152966
DBWLZWNK,JPBRUTWP,5226526
DBWLZWNK,KJNSOAHR,12236873
DBWLZWNK,LRVGFDFM,9961021
DBWLZWNK,QRKRBYJL,2664015
DBWLZWNK,QVLMOEYE,1071343
DBWLZWNK,RCBZUSIM,152966
DBWLZWNK,UXSPKBJR,467704
DBWLZWNK,WHPUAOID,152966
DDEXPPXU,DEWLVASR,366835
DDEXPPXU,FTSVTTSR,262296
DDEXPPXU,GKQIJYDH,5108516
DDEXPPXU,JERHKLYW,152966
DDEXPPXU,NZKBIBNU,273290
DEWLVASR,AANGBULD,371288
DEWLVASR,APQGTRMF,152966
DEWLVASR,BEZYMBBT,3581077
DEWLVASR,DNMPSKTB,5203652
DEWLVASR,ELQGMQWE,501486
DEWLVASR,FTSVTTSR,262296
DEWLVASR,FWUCPMMW,152966
DEWLVASR,GYHKIVQT,22166035
DEWLVASR,IGDVVKUD,152966
DEWLVASR,JPBRUTWP,5226526
DEWLVASR,KJNSOAHR,12236873
DEWLVASR,LSOIUSXD,298945
DEWLVASR,OKMBFVKS,1751699
DEWLVASR,RAWUKQMJ,3914860
DEWLVASR,SDWAYPIK,5203652
DEWLVASR,UIFPPCLR,152966
DEWLVASR,VMAQSTJE,152966
DEWLVASR,WPQXWHYO,10694661
DEWLVASR,ZCELVYQU,190020
DEWLVASR,ZKENOUDA,366835
DEWLVASR,ZXERAXWP,152966
DJBLNPNC,AXULOHBQ,152966
DJBLNPNC,BLANHGYY,152966
DJBLNPNC,BSRMSVTC,371288
DJBLNPNC,DNMPSKTB,5207236
DJBLNPNC,FDXPMYGF,152966
DJBLNPNC,FITUEHWN,152966
DJBLNPNC,FRHNWLNI,863013
DJBLNPNC,HCDTGMST,152966
DJBLNPNC,JERHKLYW,152966
DJBLNPNC,JPBRUTWP,5230110
DJBLNPNC,KEUWZRKO,366835
DJBLNPNC,LSOIUSXD,298945
DJBLNPNC,LUENUFGA,3914860
DJBLNPNC,MBSBZBXA,6101230
DJBLNPNC,OGAFEHLU,152966
DJBLNPNC,PYZMVUWD,152966
DJBLNPNC,ROACSLMG,2143158
DJBLNPNC,SUOYXCHP,152966
DJBLNPNC,TGOELCAG,262296
DJBLNPNC,UQYUIVVR,6177509
DJBLNPNC,UXSPKBJR,467704
DJBLNPNC,VMAQSTJE,152966
DJBLNPNC,WBLJNPZQ,213247
DJBLNPNC,WHPUAOID,152966
DJBLNPNC,WQMVCOEM,152966
DNMPSKTB,AANGBULD,371288
DNMPSKTB,APQGTRMF,152966
DNMPSKTB,ATLDMDBO,34681287
DNMPSKTB,AXULOHBQ,152966
DNMPSKTB,BEZYMBBT,3581077
DNMPSKTB,BJALXPFS,179482
DNMPSKTB,BSRMSVTC,371288
DNMPSKTB,DBWLZWNK,249298
