leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,102783
AANGBULD,BEZYMBBT,3658327
AANGBULD,DDEXPPXU,11927
AANGBULD,DEWLVASR,371594
AANGBULD,DNMPSKTB,4869985
AANGBULD,EVBVXETX,5464951
AANGBULD,FTSVTTSR,187694
AANGBULD,GKQIJYDH,5700221
AANGBULD,KJNSOAHR,12405143
AANGBULD,LLHREMKS,52107
AANGBULD,LSOIUSXD,155594
AANGBULD,LTOYKIML,425570
AANGBULD,NAQIHUKZ,9617
AANGBULD,NZKBIBNU,320302
AANGBULD,OKMBFVKS,1891476
AANGBULD,OXKURKXR,131928
AANGBULD,UIFPPCLR,109729
AANGBULD,UQYUIVVR,4833128
AANGBULD,VUAFAIYJ,586971
AANGBULD,ZCELVYQU,187060
AANGBULD,ZKENOUDA,359561
AHMDUILJ,APQGTRMF,105354
AHMDUILJ,ATLDMDBO,37358517
AHMDUILJ,BSRMSVTC,216794
AHMDUILJ,BUZIIBYG,16688349
AHMDUILJ,DUCMGGNW,758256
AHMDUILJ,HXYSSRXE,5308509
AHMDUILJ,JERHKLYW,13728
AHMDUILJ,KEUWZRKO,299736
AHMDUILJ,LRVGFDFM,7593900
AHMDUILJ,QRKRBYJL,3610094
AHMDUILJ,RAWUKQMJ,4247073
AHMDUILJ,SAHWCZNH,2483364
AHMDUILJ,UXSPKBJR,481844
AHMDUILJ,WPQXWHYO,10342657
AHMDUILJ,WQMVCOEM,151981
AHMDUILJ,XIIEJNEE,81503
AHMDUILJ,YSYHGLQK,13672
APQGTRMF,ATLDMDBO,37367629
APQGTRMF,AXULOHBQ,74948
APQGTRMF,BEZYMBBT,3662323
APQGTRMF,BSRMSVTC,215651
APQGTRMF,BTMOEMEP,20027974
APQGTRMF,DBWLZWNK,335501
APQGTRMF,DEWLVASR,387658
APQGTRMF,DJBLNPNC,9312
APQGTRMF,DNMPSKTB,4903389
APQGTRMF,DUCMGGNW,749785
APQGTRMF,FDXPMYGF,13098
APQGTRMF,FQCLOEXA,2120370
APQGTRMF,GYHKIVQT,29399522
APQGTRMF,HXYSSRXE,5347973
APQGTRMF,JPBRUTWP,5655241
APQGTRMF,KJNSOAHR,12570481
APQGTRMF,MBSBZBXA,4681153
APQGTRMF,OGAFEHLU,21709
APQGTRMF,OKMBFVKS,1868568
APQGTRMF,OXKURKXR,129613
APQGTRMF,QRKRBYJL,3585458
APQGTRMF,QVLMOEYE,1161503
APQGTRMF,RAWUKQMJ,4248512
APQGTRMF,RCBZUSIM,19136
APQGTRMF,ROACSLMG,2035185
APQGTRMF,SDWAYPIK,5230167
APQGTRMF,UIFPPCLR,106104
APQGTRMF,VMAQSTJE,36602
APQGTRMF,WBLJNPZQ,145209
APQGTRMF,WHPUAOID,55967
APQGTRMF,XUOIQPFL,2803156
APQGTRMF,YSYHGLQK,14710
APQGTRMF,ZGJXVMNI,2770888
ATLDMDBO,APQGTRMF,101015
ATLDMDBO,AXULOHBQ,70850
ATLDMDBO,BEZYMBBT,3656618
ATLDMDBO,BJALXPFS,143925
ATLDMDBO,BLANHGYY,20878
ATLDMDBO,BTMOEMEP,19166863
ATLDMDBO,DBWLZWNK,336527
ATLDMDBO,DEWLVASR,388251
ATLDMDBO,DJBLNPNC,6449
ATLDMDBO,DNMPSKTB,4855939
ATLDMDBO,EVBVXETX,5474031
ATLDMDBO,FDXPMYGF,7206
ATLDMDBO,FQCLOEXA,2115240
ATLDMDBO,GYHKIVQT,27842579
ATLDMDBO,HXYSSRXE,5250599
ATLDMDBO,IGDVVKUD,41587
ATLDMDBO,JERHKLYW,14062
ATLDMDBO,JPBRUTWP,5699825
ATLDMDBO,LPHPPJUG,1300783
ATLDMDBO,LRVGFDFM,7403989
ATLDMDBO,OGAFEHLU,25283
ATLDMDBO,OKMBFVKS,1873044
ATLDMDBO,OXKURKXR,128968
ATLDMDBO,QRKRBYJL,3669928
ATLDMDBO,QVLMOEYE,1153142
ATLDMDBO,RAWUKQMJ,4274807
ATLDMDBO,RCBZUSIM,17454
ATLDMDBO,SDWAYPIK,5339190
ATLDMDBO,UGEQLMXM,178649
ATLDMDBO,UIFPPCLR,109583
ATLDMDBO,UXSPKBJR,478689
ATLDMDBO,VBYCLTYZ,607766
ATLDMDBO,XIIEJNEE,77630
ATLDMDBO,XUOIQPFL,2803348
ATLDMDBO,ZGJXVMNI,2780040
ATLDMDBO,ZKENOUDA,370540
AXULOHBQ,BJALXPFS,140682
AXULOHBQ,BLANHGYY,19136
AXULOHBQ,BSRMSVTC,213364
AXULOHBQ,DNMPSKTB,4843821
AXULOHBQ,EVBVXETX,5409597
AXULOHBQ,FDXPMYGF,9098
AXULOHBQ,FQCLOEXA,2115474
AXULOHBQ,HCDTGMST,140900
AXULOHBQ,HXYSSRXE,5306176
AXULOHBQ,KEUWZRKO,304268
AXULOHBQ,LPHPPJUG,1312556
AXULOHBQ,LUENUFGA,3987065
AXULOHBQ,NZKBIBNU,325897
AXULOHBQ,OGAFEHLU,20913
AXULOHBQ,PYZMVUWD,8109
AXULOHBQ,RJGPVEXX,505539
AXULOHBQ,SAHWCZNH,2451453
AXULOHBQ,SUOYXCHP,11311
AXULOHBQ,UXSPKBJR,515746
AXULOHBQ,VMAQSTJE,36690
AXULOHBQ,WBLJNPZQ,145367
AXULOHBQ,WPQXWHYO,10311244
AXULOHBQ,WQMVCOEM,141330
AXULOHBQ,XIFHSOWQ,66480
AXULOHBQ,XUOIQPFL,2802108
AXULOHBQ,ZGJXVMNI,2770532
BEZYMBBT,AHMDUILJ,124382
BEZYMBBT,APQGTRMF,102963
BEZYMBBT,ATLDMDBO,37385610
BEZYMBBT,DBWLZWNK,344894
BEZYMBBT,ELQGMQWE,538303
BEZYMBBT,FITUEHWN,114114
BEZYMBBT,GYHKIVQT,29428315
BEZYMBBT,HXYSSRXE,5274182
BEZYMBBT,IGDVVKUD,43148
BEZYMBBT,JPBRUTWP,5650030
BEZYMBBT,KJNSOAHR,12579604
BEZYMBBT,OJIFIHMZ,1963065
BEZYMBBT,OKMBFVKS,1862380
BEZYMBBT,OXKURKXR,131291
BEZYMBBT,QRKRBYJL,3710058
BEZYMBBT,QVLMOEYE,1174298
BEZYMBBT,RAWUKQMJ,4292561
BEZYMBBT,RCBZUSIM,16466
BEZYMBBT,RJGPVEXX,498464
BEZYMBBT,SDWAYPIK,5250554
BEZYMBBT,STZDBITS,18413679
BEZYMBBT,UIFPPCLR,106612
